Title,DOI_URL,Venue,Year,Authors,Abstract,Takeaway,Teaching_(1-3),Teaching_Explanation,Evaluating_(1-3),Evaluating_Explanation,Design_(1-3),Design_Explanation,Explainability_(1-3),Explainability_Explanation
Heuristic evaluation of user interfaces,https://doi.org/10.1145/97243.97281,0.0,1990,Jukob Nielsen and Rolf Molich,"Heuristic evaluation is an informal method of usability analysis where a number of evaluators are presented with an interface design and asked to comment on it. Four experiments showed that individual evaluators were mostly quite bad at doing such heuristic evaluations and that they only found between 20 and 51% of the usability problems in the interfaces they evaluated. On the other hand, we could aggregate the evaluations from several evaluators to a single evaluation and such aggregates do rather well, even when they consist of only three to five people.","The labelling task will certainly require redundancy and supervision. Presents the opportunity to create a human-in-the-loop evaluation tool, at a much lower complexity than an interactive UI design tool -- at least for now.",2,0.0,3,0.0,2.0,0.0,1,0.0
AndroZoo: Collecting Millions of Android Apps for the Research Community,https://ieeexplore.ieee.org/abstract/document/7832927/authors#authors,0.0,2016,"Kevin Allix, Tegawendé F. Bissyandé, Jacques Klein, Yves Le Traon","We present a growing collection of Android Applications col-lected from several sources, including the official GooglePlay app market. Our dataset, AndroZoo, currently contains more than three million apps, each of which has beenanalysed by tens of different AntiVirus products to knowwhich applications are detected as Malware. We provide thisdataset to contribute to ongoing research efforts, as well asto enable new potential research topics on Android Apps.By releasing our dataset to the research community, we alsoaim at encouraging our fellow researchers to engage in reproducible experiments.","Another potential dataset -- doesn't have the metadata or user traces, but is massive and may be useful for expanding test set / writing paper. Widely used, especially before widespread use of RICO",1,0.0,1,0.0,1.0,0.0,1,0.0
Automatic Graphics Program Generation using Attention-Based Hierarchical Decoder,google.com,0.0,2018,"Zhihao Zhu, Zhan Xue, and Zejian Yuan","
                        Recent progress on deep learning has made it possible to au- tomatically transform the screenshot of Graphic User Interface (GUI) into code by using the encoder-decoder framework. While the commonly adopted image encoder (e.g., CNN network), might be capable of ex- tracting image features to the desired level, interpreting these abstract image features into hundreds of tokens of code puts a particular challenge on the decoding power of the RNN-based code generator. Considering the code used for describing GUI is usually hierarchically structured, we propose a new attention-based hierarchical code generation model, <b>which</b> can describe GUI images in a finer level of details, while also being able to generate hierarchically structured code in consistency with the hierar- chical layout of the graphic elements in the GUI. Our model follows the encoder-decoder framework, all the components of which can be trained jointly in an end-to-end manner. The experimental results show that our method outperforms other current state-of-the-art methods on both a publicly available GUI-code dataset as well as a dataset established by our own.
                    ",Screenshot to code in case we want to do a visual-only dataset (or maybe extend to physical interfaces -- not sure how generalizable?) Could be interesting when combined with code2vec,1,0.0,1,0.0,1.0,0.0,1,0.0
ERICA: Interaction Mining Mobile Apps,https://interactionmining.org/erica,0.0,2016,"Biplab Deka, Zifeng Huang, and Ranjitha Kumar","
                        Design plays an important role in adoption of apps. App design, however, is a complex process with multiple design activities. To enable data-driven app design applications, we present interaction mining – capturing both static (UI layouts, visual details) and dynamic (user flows, motion details) components of an app’s design. We present ERICA, a system that takes a scalable, human-computer approach to interaction mining existing Android apps without the need to modify them in any way. As users interact with apps through ERICA, it detects UI changes, seamlessly records multiple data-streams in the background, and unifies them into a user interaction trace. Using ERICA we collected interaction traces from over a thousand popular Android apps. Leveraging this trace data, we built machine learning classifiers to detect elements and layouts indicative of 23 common user flows. User flows are an important component of UX design and consists of a sequence of UI states that represent semantically meaningful tasks such as searching or composing. With these classifiers, we identified and indexed more than 3000 flow examples, and released the largest online search engine of user flows in Android apps.Here ois stuff thjat I am changing<br>","Computer-aided generation of user traces, resulted in generation of large dataset and search engine for android app traces, could be useful when temporally dependent UI features are implemented + could find similar apps to give students examples",1,0.0,2,0.0,2.0,0.0,1,0.0
SUGILITE: Creating Multimodal Smartphone Automation by Demonstration,https://toby.li/files/TobyLi-CHI2017-Sugilite.pdf,0.0,2017,"Toby Jia-Jun Li 1 , Amos Azaria 2 , and Brad A. Myers 1","S UGILITE is a new programming-by-demonstration (PBD) system that enables users to create automation on smartphones. S UGILITE uses Android’s accessibility API to support automating arbitrary tasks in any Android app (or even across multiple apps). When the user gives verbal commands that S UGILITE does not know how to execute, the user can demonstrate by directly manipulating the regu- lar apps’ user interface. By leveraging the verbal instruc- tions, the demonstrated procedures, and the apps’ UI hierar- chy structures, S UGILITE can automatically generalize the script from the recorded actions, so S UGILITE learns how to perform tasks with different variations and parameters from a single demonstration. Extensive error handling and con- text checking support forking the script when new situa- tions are encountered, and provide robustness if the apps change their user interface. Our lab study suggests that us- ers with little or no programming knowledge can success- fully automate smartphone tasks using S UGILITE .","Programming by demonstration, automatically create UI automation from screen recording. Need to look more into it -- has a lot of insight in combining DOM / Image ""A PBD script generalization mechanism that leverages
the verbal command, the recorded actions, and recorded
information about the UI hierarchy structures of the
third-party apps to create a generalized program from a
single demonstration. The system also has a representa-
tion of the recordings that allows users to manually edit
scripts if necessary.""",1,0.0,1,0.0,1.0,0.0,3,0.0
Screen2Words: Automatic Mobile UI Summarization with Multimodal Learning,https://doi.org/10.48550/arXiv.2108.03353,0.0,2018,"Bryan Wang, Gang Li, Xin Zhou, Zhourong Chen, Tovi Grossman, Yang Li","Mobile User Interface Summarization generates succinct language descriptions
of mobile screens for conveying important contents and functionalities of the
screen, which can be useful for many language-based application scenarios. We
present Screen2Words, a novel screen summarization approach that automatically
encapsulates essential information of a UI screen into a coherent language
phrase. Summarizing mobile screens requires a holistic understanding of the
multi-modal data of mobile UIs, including text, image, structures as well as UI
semantics, motivating our multi-modal learning approach. We collected and
analyzed a large-scale screen summarization dataset annotated by human workers.
Our dataset contains more than 112k language summarization across ∼22k
unique UI screens. We then experimented with a set of deep models with
different configurations. Our evaluation of these models with both automatic
accuracy metrics and human rating shows that our approach can generate
high-quality summaries for mobile screens. We demonstrate potential use cases
of Screen2Words and open-source our dataset and model to lay the foundations
for further bridging language and user interfaces.","Generates a verbal description of a UI -- for example, this is a search page for hotels in san francisco. Could be useful in determining the purpose of various screens. Compare to screen2vec?",2,0.0,3,0.0,1.0,0.0,3,0.0
VUT: Versatile UI Transformer for Multi-Modal Multi-Task User Interface Modeling,https://doi.org/10.48550/arXiv.2112.05692,0.0,2021,"Yang Li, Gang Li, Xin Zhou, Mostafa Dehghani, Alexey Gritsenko","User interface modeling is inherently multimodal, which involves several
distinct types of data: images, structures and language. The tasks are also
diverse, including object detection, language generation and grounding. In this
paper, we present VUT, a Versatile UI Transformer that takes multimodal input
and simultaneously accomplishes 5 distinct tasks with the same model. Our model
consists of a multimodal Transformer encoder that jointly encodes UI images and
structures, and performs UI object detection when the UI structures are absent
in the input. Our model also consists of an auto-regressive Transformer model
that encodes the language input and decodes output, for both question-answering
and command grounding with respect to the UI. Our experiments show that for
most of the tasks, when trained jointly for multi-tasks, VUT substantially
reduces the number of models and footprints needed for performing multiple
tasks, while achieving accuracy exceeding or on par with baseline models
trained for each individual task.","Combines serveral sources of input to generate a number of different useful automated tasks -- for example, UI Object detection, command grounding, question and answer transformer",1,0.0,3,0.0,1.0,0.0,3,0.0
Widget Captioning: Generating Natural Language Description for Mobile User Interface Elements,https://doi.org/10.48550/arXiv.2010.04295,0.0,2020,"Yang Li, Gang Li, Luheng He, Jingjie Zheng, Hong Li, Zhiwei Guan","Natural language descriptions of user interface (UI) elements such as
alternative text are crucial for accessibility and language-based interaction
in general. Yet, these descriptions are constantly missing in mobile UIs. We
propose widget captioning, a novel task for automatically generating language
descriptions for UI elements from multimodal input including both the image and
the structural representations of user interfaces. We collected a large-scale
dataset for widget captioning with crowdsourcing. Our dataset contains 162,859
language phrases created by human workers for annotating 61,285 UI elements
across 21,750 unique UI screens. We thoroughly analyze the dataset, and train
and evaluate a set of deep model configurations to investigate how each feature
modality as well as the choice of learning strategies impact the quality of
predicted captions. The task formulation and the dataset as well as our
benchmark models contribute a solid basis for this novel multimodal captioning
task that connects language and user interfaces.","Very similar to screen describing project (screen2words), but more targeted, maybe useful for error screen detection and other element determination. Good dataset analysis.",1,0.0,3,0.0,1.0,0.0,3,0.0
Eye Tracking to Understand Impact of Aging on Mobile Phone Applications,https://doi.org/10.48550/arXiv.2101.00792,0.0,2021,"Antony William Joseph, Jeevitha Shree DV, Kamal Preet Singh Saluja, Abhishek Mukhopadhyay, Ramaswami Murugesh, Pradipta Biswas","Usage of smartphones and tablets have been increasing rapidly with
multi-touch interaction and powerful configurations. Performing tasks on mobile
phones become more complex as people age, thereby increasing their cognitive
workload. In this context, we conducted an eye tracking study with 50
participants between the age of 20 to 60 years and above, living in Bangalore,
India. This paper focuses on visual nature of interaction with mobile user
interfaces. The study aims to investigate how aging affects user experience on
mobile phones while performing complex tasks, and estimate cognitive workload
using eye tracking metrics. The study consisted of five tasks that were
performed on an android mobile phone under naturalistic scenarios using eye
tracking glasses. We recorded ocular parameters like fixation rate, saccadic
rate, average fixation duration, maximum fixation duration and standard
deviation of pupil dilation for left and right eyes respectively for each
participant. Results from our study show that aging has a bigger effect on
performance of using mobile phones irrespective of any complex task given to
them. We noted that, participants aged between 50 to 60+ years had difficulties
in completing tasks and showed increased cognitive workload. They took longer
fixation duration to complete tasks which involved copy-paste operations.
Further, we identifed design implications and provided design recommendations
for designers and manufacturers.","Uses eye-tracking to determine sources of difficulty for people visually or cognitively as they age, some design implications and guidelines for the future. Maybe use in conjunction w Nielson?",1,0.0,2,0.0,2.0,0.0,1,0.0
Path Aggregation Network for Instance Segmentation,https://doi.org/10.48550/arXiv.1803.01534,0.0,2018,"Shu Liu, Lu Qi, Haifang Qin, Jianping Shi, Jiaya Jia","The way that information propagates in neural networks is of great
importance. In this paper, we propose Path Aggregation Network (PANet) aiming
at boosting information flow in proposal-based instance segmentation framework.
Specifically, we enhance the entire feature hierarchy with accurate
localization signals in lower layers by bottom-up path augmentation, which
shortens the information path between lower layers and topmost feature. We
present adaptive feature pooling, which links feature grid and all feature
levels to make useful information in each feature level propagate directly to
following proposal subnetworks. A complementary branch capturing different
views for each proposal is created to further improve mask prediction. These
improvements are simple to implement, with subtle extra computational overhead.
Our PANet reaches the 1st place in the COCO 2017 Challenge Instance
Segmentation task and the 2nd place in Object Detection task without
large-batch training. It is also state-of-the-art on MVD and Cityscapes. Code
is available at this https URL","Massive improvement for instance segmentation, generally for CV, not UI evaluation, but could be useful if element segmentation becomes difficult (but probably not)",0,0.0,0,0.0,0.0,0.0,0,0.0
